Comparison,Model,R2_A,R2_B,Delta_R2,RMSE_A,RMSE_B,Delta_RMSE,Governance_adds_value
M1→M4: market+oil rents+governance vs market baseline,Dummy_mean,-0.0745,-0.01,0.0646,2.1537,1.811,-0.3427,Yes
M3→M4: does governance add value over market+oil rents? ← KEY,Dummy_mean,-0.0266,-0.01,0.0166,2.1431,1.811,-0.3321,Marginal
M4→M5: do IMF reform + FDI restriction add value over core governance?,Dummy_mean,-0.01,-0.2658,-0.2558,1.811,1.7463,-0.0647,No
M5→M6: do lagged features add dynamic value?,Dummy_mean,-0.2658,-0.2654,0.0003,1.7463,1.7308,-0.0155,Marginal
M1→M4: market+oil rents+governance vs market baseline,Ridge,0.8582,0.8237,-0.0346,0.7682,0.6797,-0.0885,No
M3→M4: does governance add value over market+oil rents? ← KEY,Ridge,0.8509,0.8237,-0.0273,0.777,0.6797,-0.0974,No
M4→M5: do IMF reform + FDI restriction add value over core governance?,Ridge,0.8237,0.7981,-0.0255,0.6797,0.6761,-0.0036,No
M5→M6: do lagged features add dynamic value?,Ridge,0.7981,0.7749,-0.0232,0.6761,0.7084,0.0323,No
M1→M4: market+oil rents+governance vs market baseline,ElasticNet,0.8556,0.841,-0.0146,0.7772,0.6536,-0.1236,No
M3→M4: does governance add value over market+oil rents? ← KEY,ElasticNet,0.8465,0.841,-0.0055,0.7892,0.6536,-0.1356,No
M4→M5: do IMF reform + FDI restriction add value over core governance?,ElasticNet,0.841,0.834,-0.0069,0.6536,0.6031,-0.0505,No
M5→M6: do lagged features add dynamic value?,ElasticNet,0.834,0.8291,-0.0049,0.6031,0.6051,0.002,No
M1→M4: market+oil rents+governance vs market baseline,RandomForest,0.7903,0.6939,-0.0964,0.9363,0.8894,-0.0469,No
M3→M4: does governance add value over market+oil rents? ← KEY,RandomForest,0.7976,0.6939,-0.1037,0.9322,0.8894,-0.0429,No
M4→M5: do IMF reform + FDI restriction add value over core governance?,RandomForest,0.6939,0.7241,0.0302,0.8894,0.8044,-0.085,Yes
M5→M6: do lagged features add dynamic value?,RandomForest,0.7241,0.7105,-0.0136,0.8044,0.8207,0.0163,No
M1→M4: market+oil rents+governance vs market baseline,GradBoost,0.8094,0.7177,-0.0917,0.881,0.8401,-0.041,No
M3→M4: does governance add value over market+oil rents? ← KEY,GradBoost,0.8289,0.7177,-0.1112,0.8481,0.8401,-0.008,No
M4→M5: do IMF reform + FDI restriction add value over core governance?,GradBoost,0.7177,0.7538,0.0361,0.8401,0.7548,-0.0853,Yes
M5→M6: do lagged features add dynamic value?,GradBoost,0.7538,0.7222,-0.0316,0.7548,0.7906,0.0358,No
M1→M4: market+oil rents+governance vs market baseline,XGBoost,0.806,0.6818,-0.1242,0.8913,0.8481,-0.0432,No
M3→M4: does governance add value over market+oil rents? ← KEY,XGBoost,0.815,0.6818,-0.1332,0.8698,0.8481,-0.0217,No
M4→M5: do IMF reform + FDI restriction add value over core governance?,XGBoost,0.6818,0.7154,0.0336,0.8481,0.8074,-0.0407,Yes
M5→M6: do lagged features add dynamic value?,XGBoost,0.7154,0.6966,-0.0189,0.8074,0.8198,0.0125,No
M1→M4: market+oil rents+governance vs market baseline,LightGBM,0.8172,0.688,-0.1292,0.864,0.8265,-0.0375,No
M3→M4: does governance add value over market+oil rents? ← KEY,LightGBM,0.8289,0.688,-0.1408,0.8443,0.8265,-0.0178,No
M4→M5: do IMF reform + FDI restriction add value over core governance?,LightGBM,0.688,0.6806,-0.0074,0.8265,0.8569,0.0304,No
M5→M6: do lagged features add dynamic value?,LightGBM,0.6806,0.6875,0.0069,0.8569,0.8518,-0.0051,Marginal
